city,date,avg_temperature_c,min_temperature_c,max_temperature_c,sample_count
beijing,2026-07-01,32.8,25,39.6,4
beijing,2026-07-02,33.5,25.8,40.4,4
beijing,2026-07-03,33.4,26.2,40.8,4
beijing,2026-07-04,34.1,26.4,41,4
beijing,2026-07-05,29.9,22.2,36.8,4
beijing,2026-07-06,33.1,26.6,39,4
beijing,2026-07-07,31.6,24,38.4,4
beijing,2026-07-08,30.9,24.8,37.4,4
beijing,2026-07-09,32.1,25.4,38,4
beijing,2026-07-10,34.4,26.8,41.2,4
beijing,2026-07-11,33.8,26.2,40.8,4
beijing,2026-07-12,33.3,26.2,40.6,4
beijing,2026-07-13,34.4,27.2,41.8,4
beijing,2026-07-14,34.4,26.6,41.2,4
beijing,2026-07-15,32.4,24.8,39.2,4
beijing,2026-07-16,34.4,27.2,41.8,4
beijing,2026-07-17,33.7,26,40.6,4
beijing,2026-07-18,34.1,27.4,40,4
beijing,2026-07-19,30.7,23,37.6,4
beijing,2026-07-20,33.8,27.6,40.2,4
beijing,2026-07-21,31.1,23.4,38,4
beijing,2026-07-22,32.7,25,39.6,4
beijing,2026-07-23,33.2,25.6,40.2,4
beijing,2026-07-24,31.8,25.6,38.2,4
beijing,2026-07-25,33.8,26.2,40.8,4
beijing,2026-07-26,33.5,26.2,40.2,4
beijing,2026-07-27,30.3,22.6,37.2,4
beijing,2026-07-28,31.4,24.6,37.2,4
beijing,2026-07-29,34.0,26.4,40.8,4
beijing,2026-07-30,30.9,23.4,37.6,4
guangzhou,2026-07-01,37.9,33.4,42,4
guangzhou,2026-07-02,37.1,33.4,40.4,4
guangzhou,2026-07-03,38.0,33.2,42.2,4
guangzhou,2026-07-04,34.3,29.6,38.4,4
guangzhou,2026-07-05,34.5,30.2,39.2,4
guangzhou,2026-07-06,36.8,32.2,40.8,4
guangzhou,2026-07-07,34.9,31.6,38.6,4
guangzhou,2026-07-08,36.2,32.4,39.4,4
guangzhou,2026-07-09,37.6,33.4,42.2,4
guangzhou,2026-07-10,35.1,30.4,39.4,4
guangzhou,2026-07-11,37.1,33.4,40.4,4
guangzhou,2026-07-12,38.0,34.8,41.8,4
guangzhou,2026-07-13,34.4,30.2,39,4
guangzhou,2026-07-14,34.5,29.8,38.6,4
guangzhou,2026-07-15,34.7,30.2,38.6,4
guangzhou,2026-07-16,37.6,32.8,41.8,4
guangzhou,2026-07-17,35.0,30.2,39.2,4
guangzhou,2026-07-18,38.4,34,43,4
guangzhou,2026-07-19,36.3,32.6,39.4,4
guangzhou,2026-07-20,35.1,30.4,39.4,4
guangzhou,2026-07-21,38.2,33.4,42.4,4
guangzhou,2026-07-22,38.1,33.4,42.4,4
guangzhou,2026-07-23,36.0,32.8,39.8,4
guangzhou,2026-07-24,37.1,32.4,41.2,4
guangzhou,2026-07-25,36.5,32.2,41.2,4
guangzhou,2026-07-26,37.1,33.8,40.8,4
guangzhou,2026-07-27,37.2,33.6,42.2,4
guangzhou,2026-07-28,38.4,34.6,41.6,4
guangzhou,2026-07-29,36.5,32.2,41.2,4
guangzhou,2026-07-30,36.0,31.2,40.2,4
shanghai,2026-07-01,34.0,28.2,40,4
shanghai,2026-07-02,34.2,28,39.8,4
shanghai,2026-07-03,34.6,28.4,40.2,4
shanghai,2026-07-04,35.0,28.8,40.4,4
shanghai,2026-07-05,33.9,28.2,40,4
shanghai,2026-07-06,36.6,30.4,42.2,4
shanghai,2026-07-07,36.8,31.6,41.4,4
shanghai,2026-07-08,34.5,29.8,39.6,4
shanghai,2026-07-09,36.2,30,41.8,4
shanghai,2026-07-10,36.2,30,41.8,4
shanghai,2026-07-11,33.3,27.2,38.8,4
shanghai,2026-07-12,35.6,30.4,40.2,4
shanghai,2026-07-13,35.6,29.4,41,4
shanghai,2026-07-14,36.4,30.2,42,4
shanghai,2026-07-15,32.5,27.8,37.4,4
shanghai,2026-07-16,36.8,31,42.8,4
shanghai,2026-07-17,32.8,27.2,38.8,4
shanghai,2026-07-18,34.9,29.2,41,4
shanghai,2026-07-19,36.6,30.4,42,4
shanghai,2026-07-20,35.5,29,41.2,4
shanghai,2026-07-21,33.1,26.8,38.6,4
shanghai,2026-07-22,33.2,27,38.8,4
shanghai,2026-07-23,32.6,26.4,38.2,4
shanghai,2026-07-24,36.8,31,42.8,4
shanghai,2026-07-25,36.8,31.6,41.4,4
shanghai,2026-07-26,36.1,30.4,42,4
shanghai,2026-07-27,35.4,29.2,41,4
shanghai,2026-07-28,33.8,27.6,39.4,4
shanghai,2026-07-29,34.9,29.2,41,4
shanghai,2026-07-30,33.6,28.4,38.2,4
