city,date,time,temperature_c
beijing,2026-07-01,08:00,31.0
beijing,2026-07-01,12:00,39.6
beijing,2026-07-01,18:00,35.4
beijing,2026-07-01,22:00,25.0
beijing,2026-07-02,08:00,31.6
beijing,2026-07-02,12:00,40.4
beijing,2026-07-02,18:00,36.0
beijing,2026-07-02,22:00,25.8
beijing,2026-07-03,08:00,30.0
beijing,2026-07-03,12:00,40.8
beijing,2026-07-03,18:00,36.6
beijing,2026-07-03,22:00,26.2
beijing,2026-07-04,08:00,32.2
beijing,2026-07-04,12:00,41.0
beijing,2026-07-04,18:00,36.8
beijing,2026-07-04,22:00,26.4
beijing,2026-07-05,08:00,28.0
beijing,2026-07-05,12:00,36.8
beijing,2026-07-05,18:00,32.6
beijing,2026-07-05,22:00,22.2
beijing,2026-07-06,08:00,30.2
beijing,2026-07-06,12:00,39.0
beijing,2026-07-06,18:00,36.8
beijing,2026-07-06,22:00,26.6
beijing,2026-07-07,08:00,29.8
beijing,2026-07-07,12:00,38.4
beijing,2026-07-07,18:00,34.2
beijing,2026-07-07,22:00,24.0
beijing,2026-07-08,08:00,28.6
beijing,2026-07-08,12:00,37.4
beijing,2026-07-08,18:00,33.0
beijing,2026-07-08,22:00,24.8
beijing,2026-07-09,08:00,29.4
beijing,2026-07-09,12:00,38.0
beijing,2026-07-09,18:00,35.8
beijing,2026-07-09,22:00,25.4
beijing,2026-07-10,08:00,32.6
beijing,2026-07-10,12:00,41.2
beijing,2026-07-10,18:00,37.0
beijing,2026-07-10,22:00,26.8
beijing,2026-07-11,08:00,32.0
beijing,2026-07-11,12:00,40.8
beijing,2026-07-11,18:00,36.4
beijing,2026-07-11,22:00,26.2
beijing,2026-07-12,08:00,30.0
beijing,2026-07-12,12:00,40.6
beijing,2026-07-12,18:00,36.4
beijing,2026-07-12,22:00,26.2
beijing,2026-07-13,08:00,31.2
beijing,2026-07-13,12:00,41.8
beijing,2026-07-13,18:00,37.6
beijing,2026-07-13,22:00,27.2
beijing,2026-07-14,08:00,32.6
beijing,2026-07-14,12:00,41.2
beijing,2026-07-14,18:00,37.0
beijing,2026-07-14,22:00,26.6
beijing,2026-07-15,08:00,30.6
beijing,2026-07-15,12:00,39.2
beijing,2026-07-15,18:00,35.0
beijing,2026-07-15,22:00,24.8
beijing,2026-07-16,08:00,31.0
beijing,2026-07-16,12:00,41.8
beijing,2026-07-16,18:00,37.6
beijing,2026-07-16,22:00,27.2
beijing,2026-07-17,08:00,31.8
beijing,2026-07-17,12:00,40.6
beijing,2026-07-17,18:00,36.2
beijing,2026-07-17,22:00,26.0
beijing,2026-07-18,08:00,31.2
beijing,2026-07-18,12:00,40.0
beijing,2026-07-18,18:00,37.6
beijing,2026-07-18,22:00,27.4
beijing,2026-07-19,08:00,28.8
